id,created_at,user_id,product_id,discount,quantity
1,2019-02-11T21:40:27.000Z,1,14,,2
3,2019-12-06T22:22:48.000Z,1,105,6.42,2
4,2019-08-22T16:30:42.000Z,1,94,,6
6,2019-11-06T16:38:50.000Z,1,60,,3
8,2019-06-17T02:37:41.000Z,1,65,8.65,7
13,2019-04-06T01:04:43.000Z,3,70,2.12,2
19,2019-02-14T07:28:31.000Z,3,136,,1
22,2019-12-12T21:32:01.000Z,4,10,6.75,1
23,2019-06-02T11:33:15.000Z,4,85,,5
24,2019-09-20T17:28:38.000Z,4,14,,6
25,2019-12-21T12:23:13.000Z,4,97,,2
27,2019-04-28T07:01:15.000Z,6,14,,2
30,2019-04-15T12:24:20.000Z,6,179,,3
33,2019-06-18T11:17:03.000Z,7,172,6.48,4
34,2019-01-04T21:12:38.000Z,7,3,,1
40,2019-11-21T23:35:02.000Z,7,101,,2
42,2019-11-16T08:11:08.000Z,7,145,,3
43,2019-11-03T20:24:38.000Z,8,193,,3
48,2019-05-16T20:17:06.000Z,8,140,,5
49,2019-11-17T09:19:09.000Z,8,157,,3
58,2019-03-09T01:05:15.000Z,10,91,,1
59,2019-04-11T18:53:36.000Z,10,71,,1
61,2019-09-23T11:07:08.000Z,10,11,,3
64,2019-02-23T16:13:35.000Z,10,65,,2
68,2019-05-28T14:47:23.000Z,12,25,,5
69,2019-06-28T14:19:18.000Z,12,183,,8
70,2019-11-21T11:21:36.000Z,12,22,,3
73,2019-08-18T02:49:20.000Z,12,122,,7
77,2019-09-27T21:32:36.000Z,15,86,,4
80,2019-04-15T14:49:30.000Z,15,85,,4
81,2019-10-29T03:41:26.000Z,15,157,6.01,4
84,2019-12-26T14:29:19.000Z,16,183,,2
85,2019-06-05T08:15:20.000Z,16,104,,6
87,2019-05-06T01:41:27.000Z,16,17,,3
88,2019-08-10T01:39:40.000Z,16,14,,7
91,2019-02-18T12:57:11.000Z,17,185,,2
94,2019-08-01T00:15:06.000Z,17,172,,4
97,2019-07-01T01:51:26.000Z,17,110,,4
99,2019-12-23T09:54:13.000Z,17,199,,1
103,2019-09-15T18:30:40.000Z,17,172,,5
106,2019-06-16T07:59:05.000Z,17,158,,4
109,2019-09-14T06:23:32.000Z,17,172,,3
113,2019-09-01T22:01:35.000Z,17,182,,5
114,2019-12-08T16:20:25.000Z,17,108,,2
116,2019-01-01T18:48:23.000Z,18,67,,2
126,2019-07-25T00:26:35.000Z,19,149,0.56,4
127,2019-08-27T01:20:16.000Z,20,25,,4
129,2019-04-26T22:49:56.000Z,20,12,,3
141,2019-06-21T15:05:41.000Z,22,132,,5
147,2019-05-24T15:36:17.000Z,22,71,,4
148,2019-01-26T14:21:47.000Z,22,106,,1
151,2019-12-19T07:14:30.000Z,22,78,,1
154,2019-12-25T10:11:36.000Z,23,83,,1
157,2019-01-14T18:54:49.000Z,23,104,,2
158,2019-08-18T01:58:34.000Z,23,78,,9
162,2019-05-26T14:41:31.000Z,24,126,3.19,3
165,2019-08-14T12:35:14.000Z,24,10,,7
166,2019-07-19T13:10:13.000Z,24,151,,5
167,2019-11-15T18:06:11.000Z,24,200,,3
169,2019-08-13T20:36:50.000Z,24,73,,5
170,2019-08-03T08:33:03.000Z,24,118,,7
175,2019-01-30T10:19:21.000Z,29,58,,2
177,2019-06-13T04:34:32.000Z,30,154,,6
178,2019-05-27T05:53:31.000Z,30,37,,5
179,2019-07-21T15:27:05.000Z,32,75,,6
180,2019-02-25T04:03:09.000Z,32,75,,2
187,2019-07-18T00:58:53.000Z,34,17,,5
188,2019-04-26T00:15:50.000Z,34,86,3.54,4
189,2019-10-16T15:52:56.000Z,34,74,,7
190,2019-12-16T16:03:36.000Z,34,54,,2
191,2019-11-22T02:47:01.000Z,34,22,,2
192,2019-04-02T02:37:15.000Z,34,170,,3
193,2019-04-06T18:49:46.000Z,34,166,4.26,3
197,2019-09-30T12:06:29.000Z,35,108,,4
198,2019-08-24T01:13:01.000Z,35,143,,6
199,2019-05-08T08:36:37.000Z,35,186,,4
204,2019-05-03T02:44:34.000Z,36,151,,4
207,2019-03-07T09:51:21.000Z,36,106,,1
209,2019-01-05T00:03:51.000Z,36,189,,2
211,2019-11-09T01:30:22.000Z,37,178,,4
218,2019-03-20T14:58:21.000Z,37,134,,1
222,2019-03-19T18:21:54.000Z,37,99,2.47,1
226,2019-12-15T04:22:52.000Z,38,47,,2
231,2019-03-22T01:41:44.000Z,39,167,,1
236,2019-06-15T05:15:43.000Z,39,79,,6
239,2019-11-25T10:24:01.000Z,40,138,,4
243,2019-10-16T10:09:52.000Z,40,117,,4
245,2019-10-21T16:56:04.000Z,40,130,,7
247,2019-08-04T14:14:32.000Z,40,88,,9
249,2019-10-03T20:34:21.000Z,40,107,,7
254,2019-08-16T11:44:56.000Z,40,129,,5
