id,created_at,user_id,product_id,discount,quantity
2,2018-05-15T08:04:04.000Z,1,123,,3
5,2018-10-10T03:34:47.000Z,1,132,,5
7,2018-09-11T11:22:26.000Z,1,55,,5
11,2018-07-22T20:31:01.000Z,1,76,,6
12,2018-06-26T23:21:13.000Z,3,7,,7
15,2018-06-26T02:24:38.000Z,3,116,,5
20,2018-04-21T04:18:01.000Z,3,160,9.48,4
21,2018-05-02T03:57:22.000Z,3,94,,5
26,2018-06-20T02:18:00.000Z,5,40,,5
28,2018-05-23T18:15:24.000Z,6,49,9.15,4
29,2018-03-07T22:56:54.000Z,6,45,,1
31,2018-05-22T04:28:04.000Z,7,191,,6
32,2018-06-04T05:11:15.000Z,7,82,,7
36,2018-07-04T00:34:31.000Z,7,145,,4
38,2018-07-25T23:27:34.000Z,7,39,,5
39,2018-05-09T03:09:25.000Z,7,142,,4
41,2018-12-04T00:08:37.000Z,7,51,,2
46,2018-06-14T03:09:15.000Z,8,8,,4
47,2018-07-06T00:35:40.000Z,8,104,,4
50,2018-01-01T07:26:31.000Z,8,12,,2
52,2018-07-15T23:04:22.000Z,9,34,,3
53,2018-09-15T13:06:14.000Z,9,79,,3
54,2018-10-26T20:41:23.000Z,10,68,7.64,4
60,2018-07-10T03:17:28.000Z,10,92,,2
62,2018-10-13T19:02:04.000Z,10,198,,6
63,2018-04-14T19:47:06.000Z,10,58,,3
65,2018-09-14T23:33:17.000Z,10,53,,5
66,2018-03-30T20:03:22.000Z,10,15,3.44,1
67,2018-05-30T05:01:21.000Z,10,152,7.81,5
78,2018-05-02T15:42:21.000Z,15,165,,5
79,2018-04-25T15:55:31.000Z,15,49,,4
82,2018-01-03T09:10:59.000Z,16,78,,2
83,2018-04-28T18:48:34.000Z,16,169,6.01,3
96,2018-09-26T23:27:09.000Z,17,140,,4
101,2018-09-14T06:42:41.000Z,17,30,5.05,3
105,2018-03-01T00:41:52.000Z,17,118,,1
112,2018-06-12T04:48:40.000Z,17,115,,7
117,2018-02-26T02:43:13.000Z,18,49,,2
118,2018-12-18T04:49:24.000Z,18,37,,29
121,2018-02-03T05:48:55.000Z,18,144,5.66,1
122,2018-12-31T20:08:35.000Z,18,41,,2
125,2018-07-18T01:04:09.000Z,19,129,,4
128,2018-05-29T01:45:46.000Z,20,134,,3
132,2018-07-22T03:39:51.000Z,20,161,,2
135,2018-01-04T14:19:57.000Z,21,120,,1
136,2018-11-21T22:12:37.000Z,21,116,,2
138,2018-03-26T01:51:23.000Z,21,62,,1
142,2018-01-30T19:26:07.000Z,22,57,,2
143,2018-04-05T20:31:27.000Z,22,24,2.1,2
150,2018-11-06T14:12:49.000Z,22,104,,3
152,2018-04-28T23:03:07.000Z,22,61,,3
153,2018-11-28T15:57:37.000Z,23,29,,3
155,2018-04-06T09:28:38.000Z,23,21,,2
159,2018-01-31T23:55:52.000Z,23,114,,3
160,2018-03-01T23:52:38.000Z,23,165,,1
163,2018-04-07T02:25:01.000Z,24,75,,3
164,2018-10-22T09:59:09.000Z,24,33,,7
168,2018-04-14T22:05:46.000Z,24,186,,2
173,2018-10-22T18:56:58.000Z,29,91,,7
176,2018-10-16T01:03:54.000Z,29,154,,7
183,2018-08-25T14:09:48.000Z,32,87,,8
184,2018-03-29T01:29:18.000Z,32,84,,1
185,2018-06-08T20:22:55.000Z,33,103,,8
186,2018-12-23T21:15:46.000Z,33,108,,2
194,2018-01-28T20:48:50.000Z,34,89,8.76,2
200,2018-06-30T04:17:27.000Z,35,75,,5
201,2018-03-30T20:23:19.000Z,36,72,,1
202,2018-01-25T16:05:23.000Z,36,60,,2
205,2018-12-23T06:21:19.000Z,36,141,,2
206,2018-06-22T06:02:43.000Z,36,25,,7
208,2018-08-29T06:33:29.000Z,36,138,,6
220,2018-08-26T02:21:12.000Z,37,97,,6
223,2018-03-06T11:47:28.000Z,37,128,,1
225,2018-11-11T21:14:13.000Z,38,84,3.2,3
227,2018-06-16T19:38:44.000Z,38,66,,6
232,2018-11-12T23:45:17.000Z,39,74,7.85,2
233,2018-08-02T06:00:12.000Z,39,182,,5
