id,created_at,category,price,title,vendor
24,2017-02-08T05:19:53.000Z,Doohickey,67.303,Synergistic Marble Keyboard,Claude Thompson Group
168,2016-07-29T03:49:13.000Z,Gadget,82.826,Intelligent Paper Car,Roscoe Oberbrunner Group
87,2018-05-20T00:35:08.000Z,Widget,77.301,Gorgeous Linen Bottle,Miss Annamae Kutch Group
38,2017-01-09T14:54:58.000Z,Gadget,40.754,Lightweight Leather Gloves,"Bednar, Berge and Boyle"
3,2018-09-08T22:03:20.000Z,Doohickey,28.982,Synergistic Granite Chair,"Murray, Watsica and Wunsch"
86,2019-04-02T20:38:34.000Z,Doohickey,54.022,Heavy-Duty Silk Chair,"Orn, Hilpert and Pfannerstill"
180,2017-07-29T09:06:00.000Z,Gadget,42.41,Lightweight Copper Wallet,Maxime Haley and Sons
173,2016-05-30T07:24:27.000Z,Gadget,88.023,Gorgeous Wooden Car,"Upton, Schoen and Streich"
181,2019-03-31T07:59:18.000Z,Widget,121.675,Awesome Steel Toucan,"Berge, Mraz and Sawayn"
150,2018-11-26T07:59:53.000Z,Gadget,91.848,Synergistic Wool Coat,Morar-Schamberger
186,2018-04-14T15:21:02.000Z,Gizmo,73.659,Ergonomic Concrete Lamp,Theodore Hansen Inc
187,2017-07-03T23:17:30.000Z,Gizmo,63.57,Fantastic Copper Hat,Janick Harvey LLC
25,2018-10-17T03:54:33.000Z,Widget,45.748,Durable Marble Watch,"Ritchie, Haley and Pacocha"
75,2018-03-06T09:46:21.000Z,Gadget,84.374,Intelligent Paper Hat,Ledner-Satterfield
47,2017-05-19T22:47:54.000Z,Doohickey,64.198,Aerodynamic Cotton Bottle,Annetta Wyman and Sons
115,2018-01-27T11:30:35.000Z,Gadget,67.322,Rustic Silk Knife,Mrs. Eugenia Koelpin and Sons
141,2018-10-03T19:23:24.000Z,Doohickey,91.806,Enormous Cotton Pants,Nikolaus-Hudson
189,2017-08-16T01:01:21.000Z,Widget,68.757,Gorgeous Marble Computer,"Marvin, Turcotte and Wisozk"
28,2018-03-13T11:24:34.000Z,Gizmo,45.416,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings"
120,2016-09-27T14:38:31.000Z,Widget,41.132,Heavy-Duty Copper Watch,Jerrell Gulgowski Inc
68,2016-11-08T03:04:47.000Z,Gizmo,62.778,Heavy-Duty Copper Toucan,"Howe, Kiehn and Price"
114,2018-06-26T13:56:49.000Z,Doohickey,57.675,Practical Plastic Keyboard,"Wisoky, Pagac and Heaney"
135,2019-04-02T07:04:34.000Z,Gizmo,31.1,Enormous Granite Bottle,Lorenza Mayer Inc
37,2019-04-15T13:34:19.000Z,Gadget,64.513,Incredible Granite Toucan,"Parker, OConnell and Beahan"
84,2016-12-17T15:11:24.000Z,Gizmo,51.947,Incredible Plastic Chair,Americo Sipes and Sons
166,2016-08-05T07:54:17.000Z,Doohickey,20.997,Rustic Copper Hat,Kuhn-OReilly
176,2016-07-29T09:38:22.000Z,Widget,33.969,Enormous Leather Wallet,Mr. Colton Mayer Group
77,2017-06-23T01:30:23.000Z,Gadget,54.824,Mediocre Leather Computer,Fisher-Kemmer
200,2018-06-12T06:08:53.000Z,Gadget,64.427,Intelligent Steel Car,"Pouros, Nitzsche and Mayer"
32,2017-11-15T04:21:04.000Z,Gadget,98.387,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons
96,2017-06-07T00:06:12.000Z,Doohickey,78.629,Heavy-Duty Silk Car,Bernhard-Grady
108,2019-03-03T13:38:54.000Z,Gadget,41.941,Practical Silk Computer,Aufderhar-Boehm
13,2016-05-24T23:09:46.000Z,Gizmo,95.187,Synergistic Steel Chair,Mr. Tanya Stracke and Sons
185,2016-11-09T14:06:25.000Z,Gadget,25.421,Sleek Marble Table,Cremin-Williamson
116,2018-09-12T15:23:05.000Z,Gizmo,114.908,Aerodynamic Concrete Bench,Denesik-Ortiz
11,2018-05-28T08:02:54.000Z,Gadget,109.772,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson"
160,2018-05-03T21:43:50.000Z,Gadget,29.163,Lightweight Linen Hat,Oran DAmore Inc
162,2018-11-25T14:58:59.000Z,Gadget,23.302,Gorgeous Copper Knife,Connelly-Mitchell
45,2016-05-04T13:31:42.000Z,Doohickey,101.435,Sleek Wool Wallet,"Volkman, Greenfelder and Kiehn"
193,2017-04-24T18:33:44.000Z,Gadget,25.467,Ergonomic Plastic Bench,Hodkiewicz-Brekke
139,2016-06-08T10:24:36.000Z,Doohickey,33.512,Lightweight Steel Watch,"Wuckert, Murazik and Ernser"
148,2018-05-26T05:12:30.000Z,Gadget,94.497,Sleek Plastic Shoes,Gail Bergstrom Inc
27,2019-01-25T13:28:28.000Z,Gadget,92.24,Awesome Aluminum Table,Alfredo Kuhlman Group
130,2017-10-10T02:32:39.000Z,Gizmo,41.212,Awesome Cotton Shoes,"Kuphal, Friesen and Rowe"
42,2016-09-17T18:21:58.000Z,Widget,18.7,Awesome Rubber Wallet,Schamberger-Maggio
97,2018-02-02T15:38:37.000Z,Doohickey,56.852,Durable Copper Clock,"Halvorson, Lockman and Ruecker"
